"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","6","","NotificationServiceError","","Eventity.Tests.Services.NotificationServiceTests","Eventity.Tests.Services.NotificationServiceTests.GetAllNotifications_ShouldThrow_WhenEmpty","Eventity.Tests.Services.NotificationServiceTests.GetAllNotifications_ShouldThrow_WhenEmpty",""
"passed","Sun Oct 26 12:06:12 UTC 2025","Sun Oct 26 12:06:12 UTC 2025","1","","","","Eventity.UnitTests.DalUnitTests.ConvertersUnitTests.ParticipationConverterTests","Eventity.UnitTests.DalUnitTests.ConvertersUnitTests.ParticipationConverterTests.ToDomain_WhenNullParticipationDb_ThrowsNullReferenceException","Eventity.UnitTests.DalUnitTests.ConvertersUnitTests.ParticipationConverterTests.ToDomain_WhenNullParticipationDb_ThrowsNullReferenceException",""
"passed","Sun Oct 26 12:06:19 UTC 2025","Sun Oct 26 12:06:21 UTC 2025","2964","","Integration Tests","Authentication Service","Eventity.Tests.Integration.AuthServiceIntegrationTests","Eventity.Tests.Integration.AuthServiceIntegrationTests.AuthenticateUser_WithValidCredentials_ShouldReturnToken","Eventity.Tests.Integration.AuthServiceIntegrationTests.AuthenticateUser_WithValidCredentials_ShouldReturnToken",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","31","","NotificationServiceSuccess","","Eventity.Tests.Services.NotificationServiceTests","Eventity.Tests.Services.NotificationServiceTests.GetNotifications_ShouldFilterByUserAndParticipation","Eventity.Tests.Services.NotificationServiceTests.GetNotifications_ShouldFilterByUserAndParticipation",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","2","","UserServiceError","","Eventity.Tests.Services.UserServiceTests","Eventity.Tests.Services.UserServiceTests.GetAllUsers_ShouldThrowUserServiceException_WhenRepositoryFails","Eventity.Tests.Services.UserServiceTests.GetAllUsers_ShouldThrowUserServiceException_WhenRepositoryFails",""
"passed","Sun Oct 26 12:06:12 UTC 2025","Sun Oct 26 12:06:12 UTC 2025","3","","","","Eventity.DataAccess.Tests.Repositories.ParticipationRepositoryTests","Eventity.DataAccess.Tests.Repositories.ParticipationRepositoryTests.AddAsync_ShouldSaveAcceptedParticipant","Eventity.DataAccess.Tests.Repositories.ParticipationRepositoryTests.AddAsync_ShouldSaveAcceptedParticipant",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","6","","ParticipationServiceError","","Eventity.Tests.Services.ParticipationServiceTests","Eventity.Tests.Services.ParticipationServiceTests.GetAllParticipantsByEventId_ShouldThrowParticipationServiceException_WhenNoParticipantsFound","Eventity.Tests.Services.ParticipationServiceTests.GetAllParticipantsByEventId_ShouldThrowParticipationServiceException_WhenNoParticipantsFound",""
"passed","Sun Oct 26 12:06:22 UTC 2025","Sun Oct 26 12:06:22 UTC 2025","567","","Integration Tests","Event Service","Eventity.Tests.Integration.EventServiceIntegrationTests","Eventity.Tests.Integration.EventServiceIntegrationTests.GetEventById_ShouldReturnEvent","Eventity.Tests.Integration.EventServiceIntegrationTests.GetEventById_ShouldReturnEvent",""
"passed","Sun Oct 26 12:06:31 UTC 2025","Sun Oct 26 12:06:31 UTC 2025","186","","","","Eventity.Tests.E2E.E2ETests","Eventity.Tests.E2E.E2ETests.EventCreationAndManagement_ShouldHandleMultipleParticipants","Eventity.Tests.E2E.E2ETests.EventCreationAndManagement_ShouldHandleMultipleParticipants",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","7","","EventServiceSuccess","","Eventity.Tests.Services.EventServiceTests","Eventity.Tests.Services.EventServiceTests.GetEventByTitle_Should_Return_Events_If_Exists","Eventity.Tests.Services.EventServiceTests.GetEventByTitle_Should_Return_Events_If_Exists",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","12","","ParticipationServiceSuccess","","Eventity.Tests.Services.ParticipationServiceTests","Eventity.Tests.Services.ParticipationServiceTests.GetUserParticipationInfoByUserId_ShouldReturnUserParticipationInfos_WhenValidAcceptedParticipations","Eventity.Tests.Services.ParticipationServiceTests.GetUserParticipationInfoByUserId_ShouldReturnUserParticipationInfos_WhenValidAcceptedParticipations",""
"passed","Sun Oct 26 12:06:12 UTC 2025","Sun Oct 26 12:06:12 UTC 2025","22","","","","Eventity.DataAccess.Tests.Repositories.ParticipationRepositoryTests","Eventity.DataAccess.Tests.Repositories.ParticipationRepositoryTests.RemoveAsync_ShouldRemoveParticipation","Eventity.DataAccess.Tests.Repositories.ParticipationRepositoryTests.RemoveAsync_ShouldRemoveParticipation",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","6","","ParticipationServiceSuccess","","Eventity.Tests.Services.ParticipationServiceTests","Eventity.Tests.Services.ParticipationServiceTests.GetParticipationsByUserId_ShouldReturnParticipations_WhenParticipationsExist","Eventity.Tests.Services.ParticipationServiceTests.GetParticipationsByUserId_ShouldReturnParticipations_WhenParticipationsExist",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","7","","ParticipationServiceError","","Eventity.Tests.Services.ParticipationServiceTests","Eventity.Tests.Services.ParticipationServiceTests.UpdateParticipation_ShouldThrowParticipationServiceException_WhenParticipationNotFound","Eventity.Tests.Services.ParticipationServiceTests.UpdateParticipation_ShouldThrowParticipationServiceException_WhenParticipationNotFound",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","1","","","","Eventity.UnitTests.DalUnitTests.ConvertersUnitTests.UserConverterTests","Eventity.UnitTests.DalUnitTests.ConvertersUnitTests.UserConverterTests.ToDb_WhenNullUser_ThrowsNullReferenceException","Eventity.UnitTests.DalUnitTests.ConvertersUnitTests.UserConverterTests.ToDb_WhenNullUser_ThrowsNullReferenceException",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","4","","ParticipationServiceError","","Eventity.Tests.Services.ParticipationServiceTests","Eventity.Tests.Services.ParticipationServiceTests.RemoveParticipation_ShouldThrowParticipationServiceException_WhenRepositoryFails","Eventity.Tests.Services.ParticipationServiceTests.RemoveParticipation_ShouldThrowParticipationServiceException_WhenRepositoryFails",""
"passed","Sun Oct 26 12:06:12 UTC 2025","Sun Oct 26 12:06:12 UTC 2025","1","","","","Eventity.UnitTests.DalUnitTests.ConvertersUnitTests.NotificationConverterTests","Eventity.UnitTests.DalUnitTests.ConvertersUnitTests.NotificationConverterTests.ToDb_WhenNullNotification_ThrowsNullReferenceException","Eventity.UnitTests.DalUnitTests.ConvertersUnitTests.NotificationConverterTests.ToDb_WhenNullNotification_ThrowsNullReferenceException",""
"passed","Sun Oct 26 12:06:12 UTC 2025","Sun Oct 26 12:06:12 UTC 2025","4","","","","Eventity.DataAccess.Tests.Repositories.ParticipationRepositoryTests","Eventity.DataAccess.Tests.Repositories.ParticipationRepositoryTests.AddAsync_ShouldSaveParticipationWithSpecificIds","Eventity.DataAccess.Tests.Repositories.ParticipationRepositoryTests.AddAsync_ShouldSaveParticipationWithSpecificIds",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","4","","EventServiceError","","Eventity.Tests.Services.EventServiceTests","Eventity.Tests.Services.EventServiceTests.GetAllEvents_Should_Throw_If_Empty","Eventity.Tests.Services.EventServiceTests.GetAllEvents_Should_Throw_If_Empty",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","6","","NotificationServiceError","","Eventity.Tests.Services.NotificationServiceTests","Eventity.Tests.Services.NotificationServiceTests.GetNotificationById_ShouldThrow_WhenNotFound","Eventity.Tests.Services.NotificationServiceTests.GetNotificationById_ShouldThrow_WhenNotFound",""
"passed","Sun Oct 26 12:06:11 UTC 2025","Sun Oct 26 12:06:11 UTC 2025","5","","EventServiceError","","Eventity.Tests.Services.EventServiceTests","Eventity.Tests.Services.EventServiceTests.UpdateEvent_Should_Throw_If_Not_Exists","Eventity.Tests.Services.EventServiceTests.UpdateEvent_Should_Throw_If_Not_Exists",""
